º€«œ¿œ,gesture,real,LR,match,FA1,FA2,FA3,FA4,FA5,FD1,FD2,FD3,FD4,FD5,HA1,HA2,HA3,HA4,HA5,result1,result2,result3,result4,result5
73,2,3,L,FALSE,3.044,1.114,0.874,0.863,1.209,2.064,0.904,0.771,0.761,0.965,0.216,0.742,2.008,2.27,1.85,1,1,0,0,0
74,3,4,L,FALSE,3.051,2.901,2.119,1.87,1.815,1.907,2.076,1.494,1.491,1.626,0.245,0.206,0.843,1.366,1.462,1,1,1,0,0
75,6,5,L,FALSE,3.008,3.067,2.907,2.454,2.21,1.862,2.05,2.123,1.954,1.886,0.38,0.241,0.253,0.537,1.012,1,1,1,1,0
76,6,6,L,TRUE,3.068,2.959,3.021,3.116,3.068,1.96,2.095,2.215,2.439,2.403,0.263,0.286,0.244,0.094,0.148,1,1,1,1,1
77,7,7,L,TRUE,1.72,3.071,3.127,2.952,3.111,0.473,2.238,2.268,2.247,2.071,1.501,0.194,0.23,0.109,0.282,0,1,1,1,1
78,11,8,R,FALSE,2.171,3.003,2.817,1.462,1.758,0.804,2.24,2.263,1.187,1.416,1.195,0.084,0.197,1.429,1.511,0,0,1,1,1
79,11,9,R,FALSE,2.461,3.015,2.026,1.417,1.77,0.974,2.078,1.55,1.351,1.61,0.925,0.191,1.005,1.694,1.657,0,0,0,1,1
80,10,10,L,TRUE,2.514,1.391,1.141,1.127,2.031,0.424,1.031,0.95,1.101,1.636,0.729,1.837,2.113,2.457,0.418,0,0,0,0,1
81,11,11,L,TRUE,2.057,2.955,3.025,1.851,2.091,0.915,2.139,2.049,1.502,1.779,1.232,0.116,0.481,1.671,1.839,0,1,1,0,0
82,0,12,L,FALSE,3.002,1.713,1.387,1.455,2.988,2.009,1.234,1.125,1.127,2.465,0.28,1.978,2.357,2.09,0.522,1,1,0,0,1
83,13,13,L,TRUE,2.156,2.911,1.81,1.281,1.649,1.204,1.896,1.204,1.039,1.288,1.156,0.849,1.907,2.377,2.619,0,1,0,0,0
84,14,14,L,TRUE,1.973,2.963,2.938,2.965,2.245,0.816,2.111,2.339,1.98,1.895,1.345,0.231,0.308,0.523,1.542,0,1,1,1,0
