º€«œ¿œ,gesture,real,LR,match,FA1,FA2,FA3,FA4,FA5,FD1,FD2,FD3,FD4,FD5,HA1,HA2,HA3,HA4,HA5,result1,result2,result3,result4,result5
65,9,9,L,TRUE,2.8,0.3,0.524,2.852,2.995,1.091,0.557,1.003,1.922,2.38,0.723,2.515,2.68,0.55,0.124,0,0,0,1,1
66,10,10,L,TRUE,2.76,1.229,1.24,0.956,2.987,1.16,1.336,1.569,1.276,2.205,0.714,1.988,2.178,2.247,0.211,0,0,0,0,1
67,11,11,L,TRUE,2.383,2.838,3.009,1.09,1.268,0.932,2.133,2.275,1.333,1.388,1.108,0.031,0.214,2.233,2.035,0,1,1,0,0
68,12,12,L,TRUE,3.057,2.903,1.17,1.23,2.961,1.849,2.175,1.773,1.765,2.231,0.333,0.277,2.623,2.552,0.365,1,1,0,0,1
69,13,13,L,TRUE,2.393,3.055,1.279,1.533,1.336,0.984,2.211,1.678,1.752,1.442,0.938,0.388,2.307,2.281,2.084,0,1,0,0,0
70,14,14,L,TRUE,2.212,3.058,3.089,3.035,1.361,0.441,2.209,2.215,2.405,1.474,1.215,0.134,0.069,0.127,1.874,0,1,1,1,0
71,1,1,L,TRUE,2.022,0.055,0.431,0.55,0.551,1.177,0.487,0.441,0.541,0.545,1.243,2.432,1.635,1.587,1.819,0,0,0,0,0
72,2,2,L,TRUE,3.078,0.461,0.771,0.691,0.431,1.943,0.86,0.721,0.668,0.606,0.221,2.876,2.13,2.204,2.632,1,0,0,0,0
73,3,3,L,TRUE,3.065,3.05,1.275,1.099,0.898,1.842,2.17,1.272,1.086,1.109,0.175,0.43,2.083,2.166,2.285,1,1,0,0,0
74,4,4,L,TRUE,3.053,2.974,2.999,0.767,0.616,1.805,2.175,2.187,1.005,0.846,0.181,0.128,0.197,2.375,2.381,1,1,1,0,0
75,5,5,L,TRUE,3.089,3.102,3.06,3.004,1.272,1.713,2.194,2.105,2.392,1.354,0.289,0.129,0.112,0.124,1.691,1,1,1,1,0
76,6,6,L,TRUE,3.073,3.08,3.048,3,2.977,1.887,2.133,2.172,2.205,2.277,0.283,0.096,0.125,0.176,0.177,1,1,1,1,1
77,7,7,L,TRUE,1.778,2.907,3.046,3.089,3.124,0.559,2.181,2.218,2.352,2.447,1.587,0.058,0.005,0.101,0.054,0,1,1,1,1
